season_id,player,episode,game,opponent,fandom_result
s30_xxx_dirty_30,Ammo Hall,6,Striptease,Jordan Wiseley,L
s38_ride_or_dies,Analyse Talavera,4,Flipping Wasted,Colleen Schneider,L
s38_ride_or_dies,Analyse Talavera,4,Flipping Wasted,Kim Tränka,L
s24_rivals_ii,Anastasia Miller,2,Hanging by a Thread,Cara Maria Sorbello,L
s24_rivals_ii,Anastasia Miller,2,Hanging by a Thread,Heather Cooke,L
s13_the_duel,Aneesa Ferreira,4,Pole Wrestle,Paula Meronek,W
s13_the_duel,Aneesa Ferreira,10,Ascender,Robin Hibbard,W
s13_the_duel,Aneesa Ferreira,14,I Can,Diem Brown,W
s13_the_duel,Aneesa Ferreira,15,I Can,Svetlana Shusterman,L
s14_the_inferno_3,Aneesa Ferreira,15,Shimmy,Paula Meronek,L
s17_the_duel_ii,Aneesa Ferreira,1/2,Back Off,Shauvon Torres,W
s17_the_duel_ii,Aneesa Ferreira,7,Back Off,Paula Meronek,W
s17_the_duel_ii,Aneesa Ferreira,9/10,The Elevator,Tori Hall,W
s21_rivals,Aneesa Ferreira,1,Hands On,Evelyn Smith,L
s21_rivals,Aneesa Ferreira,1,Hands On,Paula Meronek,L
s22_battle_of_the_exes,Aneesa Ferreira,4,X Knocks the Spot,Jasmine Reynaud,W
s22_battle_of_the_exes,Aneesa Ferreira,4,X Knocks the Spot,Tyri Ballard-Brown,W
s22_battle_of_the_exes,Aneesa Ferreira,6,Banded Together,Dunbar Merrill,L
s22_battle_of_the_exes,Aneesa Ferreira,6,Banded Together,Paula Meronek,L
s24_rivals_ii,Aneesa Ferreira,10/11,Hanging by a Thread,Camila Nakagawa,L
s24_rivals_ii,Aneesa Ferreira,10/11,Hanging by a Thread,Jemmye Carroll,L
s25_free_agents,Aneesa Ferreira,7,Wrecking Wall,Jonna Mannion,W
s25_free_agents,Aneesa Ferreira,8,Oppenheimer,Laurel Stucky,L
s27_battle_of_the_bloodlines,Aneesa Ferreira,11,Mine Not Yours,Cara Maria Sorbello,L
s30_xxx_dirty_30,Aneesa Ferreira,7,Deadweight,Kailah Casillas-Bird,L
s30_xxx_dirty_30,Aneesa Ferreira,12,Web of Lies,Veronica Portillo,L
s35_total_madness,Aneesa Ferreira,9,Bombs Away,Jenna Compono,W
s35_total_madness,Aneesa Ferreira,14,Knots of War,Bayleigh Dayton,L
s36_double_agents,Aneesa Ferreira,5,Asset Destruction,Tori Deal,W
